b'\xef\xbb\xbfName,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,177108695,2268.7887107135975,2577991,33.02444793645655,408990,3840223,49.19382749120647,68758,0.8808002010925863,9749,
United States of America,Americas,33175399,10022.7,80434,24.3,11767,595591,179.94,2226,0.67,335,Community transmission
India,South-East Asia,29762793,2156.72,487970,35.36,62480,383490,27.79,20411,1.48,1587,Clusters of cases
Brazil,Americas,17628588,8293.49,505711,237.92,95367,493693,232.26,14178,6.67,2997,Community transmission
France,Europe,5643756,8677.45,18006,27.68,2775,109743,168.73,339,0.52,55,Community transmission
Turkey,Europe,5354153,6348.37,41055,48.68,5904,49012,58.11,488,0.58,62,Community transmission
Russian Federation,Europe,5281309,3618.96,100855,69.11,17262,128445,88.02,2771,1.9,453,Clusters of cases
The United Kingdom,Europe,4600627,6776.99,57637,84.9,10809,127945,188.47,78,0.11,19,Community transmission
Italy,Europe,4249755,7125.5,9887,16.58,1323,127190,213.26,335,0.56,37,Clusters of cases
Argentina,Americas,4198620,9289.85,160092,354.22,25878,87261,193.07,3989,8.83,646,Community transmission
Colombia,Americas,3829879,7526.85,194044,381.35,27827,97560,191.73,4087,8.03,595,Community transmission
Spain,Europe,3753228,7929.48,20532,43.38,1801,80634,170.36,70,0.15,3,Community transmission
Germany,Europe,3720031,4472.98,8462,10.17,1076,90270,108.54,583,0.7,91,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3070426,3655.58,67314,80.14,10291,82619,98.36,947,1.13,139,Community transmission
Poland,Europe,2878466,7583.26,1459,3.84,190,74782,197.01,267,0.7,48,Community transmission
Mexico,Americas,2463390,1910.6,21524,16.69,3789,230624,178.87,1271,0.99,196,Community transmission
Ukraine,Europe,2228192,5094.9,6765,15.47,967,51952,118.79,375,0.86,50,Community transmission
Peru,Americas,2015190,6111.85,23987,72.75,7713,189522,574.8,2043,6.2,261,Community transmission
